time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
313.38,219.6105,71.1664,11.32951,60,209.7773,79.2222,89.49785,30
314.40,216.7771,68.33298,8.496185,60,206.9438,76.38878,86.66443,30
315.40,213.9992,65.55511,5.718418,60,204.166,77.49992,83.88657,30
316.41,211.1658,62.72169,2.885091,60,201.3326,74.6665,81.05315,30
317.41,208.3879,59.94383,0.1073117,60,198.5547,77.94438,78.27528,30
318.41,237.3333,77.33325,157.3333,0,195.7768,75.16652,75.49742,30
319.43,234.4998,74.49983,159.5,0,192.9434,79.88889,72.664,30
320.44,231.722,71.72197,156.7221,0,190.1656,79.49998,69.88614,30
321.45,215.5552,55.55522,153.8887,10,187.3321,76.66656,67.05272,30
322.45,239.9444,78.38884,151.1108,10,184.5543,79.55554,64.27486,30
323.48,238.5,75.55542,148.2774,10,181.7209,76.72212,61.44144,30
324.49,238.2777,72.722,145.444,10,178.8874,79.44443,58.60802,30
325.51,235.4443,69.88858,142.6106,10,239.2778,77.72215,55.7746,30
326.51,232.6664,79.94444,139.8327,10,239.6667,74.94429,52.99673,30
327.51,229.8886,79.49998,137.0549,10,236.8888,79.49998,50.21887,30
328.53,227.0552,76.66656,134.2214,10,234.0554,79.88889,47.38545,30
329.54,224.2773,73.8887,131.4436,10,231.2775,78.16661,44.60759,30
330.54,221.4994,71.11084,128.6657,10,228.4996,75.38875,41.82973,30
331.55,218.666,68.27742,125.8323,10,212.3329,79.49998,38.99631,40
332.55,215.8882,65.49956,123.0544,10,209.555,76.72212,36.21844,40
333.55,213.1103,62.72169,120.2766,10,206.7772,73.94426,33.44058,40
334.55,196.9991,80,117.4987,20,203.9993,79.88889,30.66277,40
335.58,194.1657,79.88889,114.6653,20,201.1659,77.22214,27.82944,40
336.58,191.3878,79.94444,111.8874,20,198.388,74.44427,25.05168,40
337.60,188.4988,80,108.9984,20,195.4991,71.5553,22.1628,40
338.61,185.721,77.49992,106.2206,20,192.7212,77.55548,19.38503,40
339.61,182.9431,74.72206,103.4427,20,239.1666,74.77762,16.60727,40
340.62,180.1653,71.9442,100.6649,20,238.7222,71.99976,13.8295,40
341.62,177.3318,69.11078,97.83144,20,238.5,69.16634,10.99618,40
342.62,174.554,66.33292,95.05357,20,238.0555,66.38847,8.218409,40
343.65,171.7206,63.4995,92.22015,20,235.2221,63.55505,5.385086,40
344.66,168.8871,60.66608,89.38673,20,232.3887,60.72163,2.551757,40
345.67,152.7759,44.55488,86.60887,30,239.7778,79.77777,159.7778,0
346.68,149.9981,79.27776,83.83101,30,236.9999,76.99991,156.9999,0
347.68,147.1647,80,80.99759,30,234.1665,74.16649,154.1665,0
348.70,239.2222,77.27769,78.21973,30,231.3886,71.38863,151.3886,0
349.70,236.4443,79.27776,75.44186,30,215.2774,55.27743,148.6108,10
350.70,233.6109,77.38881,72.60844,30,212.444,52.44401,145.7773,10
351.72,217.4442,64.44437,69.77502,40,209.6106,80,142.9439,10
352.73,239.7778,61.66651,66.99716,40,206.8327,79.27776,140.1661,10
353.73,239.6667,58.88865,64.2193,40,204.0549,79.77777,137.3882,10
354.75,239.9444,56.05523,61.38588,40,201.2215,79.77777,134.5548,10
355.75,237.4999,78.72218,58.60802,40,198.4436,77.55548,131.7769,10
356.77,234.6665,77.99994,55.7746,40,239.8333,77.22214,128.9435,10
357.77,231.8886,75.22208,52.99673,40,238.6666,74.44427,126.1656,10
358.77,215.7775,80,50.21887,50,235.8888,71.66641,123.3878,10
359.77,212.9996,79.77777,47.44101,50,233.1109,78.88885,120.6099,10
360.78,210.2217,79.49998,44.66315,50,230.333,76.11099,117.832,10
361.78,207.4439,78.99997,41.88528,50,227.5552,79.05553,115.0542,10
362.79,204.6104,76.16655,39.05186,50,211.3884,62.88877,112.2208,20
363.79,239.1666,73.38869,36.274,50,208.6106,60.11091,109.4429,20
364.79,236.3888,70.61082,33.49614,50,239.8333,57.33305,106.665,20
365.79,233.6109,80,30.71832,50,238.8333,54.55518,103.8872,20
366.81,239.8333,78.0555,27.885,50,235.9999,51.72176,101.0538,20
367.82,236.9999,75.22208,25.05168,50,238.7777,48.88834,98.22034,20
368.83,220.8887,80,22.27391,60,235.9999,46.11048,95.44247,20
